Doodlebugs	Ants
20	981
20	965
20	1781
20	1789
19	2219
19	2400
19	2459
38	2457
38	2459
38	2459
38	2458
38	2457
38	2460
38	2459
57	2438
76	2417
76	2414
76	2408
76	2405
76	2405
76	2410
95	2395
133	2348
152	2309
152	2273
152	2269
152	2254
152	2241
171	2227
228	2138
285	2045
303	1936
293	1842
289	1744
281	1666
292	1586
347	1465
422	1303
444	1139
398	1001
326	927
261	855
208	802
203	762
224	709
236	654
220	634
168	629
124	655
103	690
97	741
96	805
106	870
111	951
103	1046
87	1151
77	1284
79	1421
81	1554
92	1676
115	1770
123	1837
118	1910
112	1968
107	2013
110	2057
127	2075
155	2069
183	2057
191	2021
191	2004
189	1965
191	1971
198	1935
224	1894
265	1822
289	1740
291	1632
285	1546
287	1455
296	1393
326	1310
362	1202
392	1096
386	982
356	855
321	772
299	715
285	637
288	576
284	523
247	473
219	442
180	432
148	450
135	483
122	533
109	582
109	630
112	697
101	774
84	861
73	979
75	1074
85	1172
101	1268
112	1357
116	1455
114	1537
108	1638
106	1724
121	1796
143	1843
164	1867
173	1867
177	1858
175	1869
174	1860
180	1847
204	1822
237	1775
261	1701
275	1631
266	1559
261	1501
262	1430
273	1368
303	1288
329	1183
325	1083
310	998
287	941
264	896
253	858
253	818
248	796
240	756
215	749
193	747
171	737
164	759
167	761
176	757
186	759
178	768
166	795
142	826
138	884
139	938
142	997
143	1058
139	1141
121	1211
110	1284
105	1348
113	1421
119	1493
128	1569
139	1627
139	1654
139	1705
148	1760
154	1797
160	1819
170	1814
180	1802
187	1791
195	1782
202	1759
215	1744
219	1710
224	1668
237	1612
250	1551
259	1500
255	1441
253	1385
262	1329
267	1252
269	1178
282	1107
283	1026
264	974
240	928
232	918
224	920
204	923
189	920
177	933
172	953
164	966
162	988
169	1021
174	1063
183	1099
188	1136
192	1166
192	1219
180	1280
167	1341
165	1391
170	1463
182	1473
180	1506
183	1543
189	1559
196	1565
207	1572
228	1558
253	1521
263	1479
268	1440
274	1398
282	1330
283	1268
283	1202
292	1161
297	1109
289	1041
269	973
265	927
259	882
255	843
249	804
242	751
247	715
231	682
208	683
180	699
142	735
124	798
116	837
116	873
117	920
113	963
102	1032
98	1100
97	1182
102	1256
100	1335
110	1410
116	1474
118	1539
123	1585
126	1629
137	1664
150	1674
160	1680
172	1688
174	1683
166	1682
148	1682
140	1676
147	1684
150	1676
149	1663
146	1642
147	1633
146	1616
151	1593
161	1592
176	1552
193	1527
