Doodlebugs	Ants
20	1000
20	985
20	966
20	1820
20	1806
20	1798
20	2214
20	2404
40	2408
40	2431
40	2433
40	2433
40	2426
40	2426
40	2433
40	2435
60	2420
80	2403
80	2385
80	2372
80	2367
80	2351
80	2338
80	2346
100	2345
140	2307
160	2276
160	2229
160	2189
160	2133
159	2108
156	2074
173	2030
229	1978
283	1924
297	1833
294	1724
286	1589
271	1489
256	1412
256	1328
301	1251
370	1168
397	1083
380	997
334	900
269	812
213	738
175	698
172	656
182	629
207	595
205	550
187	519
150	480
122	460
104	457
92	453
101	460
119	469
129	483
123	501
110	527
95	576
76	626
66	688
67	766
74	843
75	913
72	1003
67	1111
53	1194
42	1271
41	1381
41	1476
47	1543
54	1626
61	1696
68	1749
71	1797
70	1831
69	1870
71	1912
73	1937
84	1974
93	1993
106	2002
116	2003
118	2008
118	1998
119	1994
127	1994
145	1990
164	1968
184	1933
205	1892
212	1840
206	1784
199	1736
209	1672
222	1635
245	1595
270	1509
293	1435
309	1348
298	1267
271	1180
256	1092
235	1031
242	960
242	916
261	872
265	814
253	759
236	708
207	669
172	628
150	600
154	585
162	571
170	550
174	542
173	528
155	541
139	541
124	561
112	596
102	631
91	692
89	733
88	767
83	792
78	833
69	874
68	908
66	963
73	1008
78	1069
80	1127
78	1184
73	1244
71	1302
76	1356
83	1407
90	1452
102	1487
116	1528
126	1557
130	1577
131	1599
133	1617
142	1625
147	1638
158	1642
170	1642
185	1636
186	1620
176	1600
166	1576
159	1561
158	1544
163	1512
180	1492
200	1464
201	1424
199	1386
181	1353
169	1312
166	1257
167	1238
182	1202
188	1167
178	1128
176	1098
163	1059
145	1034
139	1005
140	982
158	956
170	931
182	889
180	850
175	811
172	767
161	741
161	714
168	722
178	722
169	722
162	724
149	744
123	766
103	777
93	813
98	875
98	933
102	981
103	1050
100	1099
95	1154
91	1208
87	1265
88	1311
94	1356
103	1414
110	1459
116	1491
116	1521
113	1569
111	1586
112	1603
114	1619
125	1640
135	1658
135	1673
138	1679
141	1673
138	1669
135	1661
134	1642
149	1649
166	1645
176	1628
188	1604
195	1582
198	1542
195	1503
196	1477
203	1449
222	1418
242	1380
264	1347
278	1295
283	1244
279	1170
270	1116
274	1054
286	996
296	950
302	899
310	833
305	784
294	722
272	682
234	647
221	615
217	601
195	603
172	606
157	594
141	599
129	602
114	601
106	599
103	626
106	644
109	675
116	713
122	739
117	778
117	838
106	891
98	930
101	992
111	1056
116	1111
123	1152
127	1209
127	1256
125	1286
120	1315
123	1365
129	1418
139	1446
149	1468
154	1487
156	1482
154	1492
142	1482
137	1474
146	1474
163	1471
175	1477
194	1458
199	1445
200	1426
194	1400
190	1371
194	1343
207	1315
224	1305
239	1279
249	1252
256	1215
261	1174
247	1131
231	1086
230	1069
242	1029
257	994
267	969
263	950
263	906
254	866
250	833
244	804
255	779
251	750
250	735
248	731
231	741
205	740
185	769
157	802
143	831
131	867
138	900
143	916
141	925
140	938
129	937
121	954
122	975
133	996
149	1012
160	1028
167	1032
166	1049
165	1060
160	1075
164	1096
179	1126
196	1141
207	1165
219	1192
222	1203
212	1211
202	1231
195	1242
186	1254
190	1250
187	1270
202	1267
215	1243
208	1240
197	1225
184	1190
180	1148
182	1132
188	1109
201	1079
224	1044
224	1022
229	983
222	947
208	922
204	888
196	855
193	834
205	822
204	796
194	777
186	775
163	769
150	756
135	773
127	805
134	809
137	823
136	844
134	851
124	846
116	855
118	866
125	880
139	884
150	895
151	904
143	904
134	913
134	928
130	949
132	966
140	1003
144	1017
153	1026
150	1047
145	1053
146	1051
151	1063
159	1081
173	1104
189	1106
203	1112
