Doodlebugs	Ants
2	100
2	98
2	96
2	192
2	192
1	191
1	268
1	331
2	331
2	354
2	379
2	382
2	383
2	389
2	391
2	393
3	393
4	395
4	394
4	393
4	393
4	392
4	392
4	394
5	394
7	391
8	391
8	388
8	384
8	384
8	383
8	379
9	378
12	377
15	377
16	370
16	364
16	362
15	358
15	354
16	351
20	345
24	343
26	336
26	325
26	311
26	304
24	297
24	290
27	281
32	280
39	270
37	259
36	248
34	238
33	225
31	215
31	211
38	209
45	195
47	189
45	178
41	167
37	156
32	147
31	138
37	133
43	126
47	116
45	107
40	101
34	91
30	82
30	82
32	85
34	86
38	88
36	103
28	114
21	119
17	130
14	143
14	155
14	158
18	169
22	179
25	180
26	187
26	191
25	180
26	180
25	191
28	191
33	187
37	186
40	177
41	172
40	169
38	169
35	167
33	175
37	182
39	180
42	178
39	181
34	174
32	167
32	168
30	165
31	162
35	159
37	153
40	148
39	144
35	137
30	133
27	140
29	143
26	141
27	144
27	146
25	148
22	154
16	154
17	156
20	153
19	164
20	172
20	167
22	171
24	180
25	178
22	179
23	180
25	178
27	177
29	176
30	176
34	180
34	180
30	177
31	181
30	181
31	179
28	178
27	184
29	182
29	174
32	172
33	169
34	162
35	154
31	150
28	148
28	139
29	136
31	135
33	133
35	127
39	122
39	118
36	106
34	96
32	92
31	89
33	91
31	95
30	96
30	90
29	83
24	93
21	102
18	112
18	119
18	129
19	138
20	145
18	162
19	166
17	171
17	182
20	195
23	198
26	200
28	199
28	198
28	199
28	205
27	204
27	208
31	204
34	204
37	200
37	194
34	196
33	196
29	191
28	194
31	188
36	179
