Doodlebugs	Ants
2	100
2	99
2	98
1	194
1	193
1	192
1	263
1	324
2	326
2	358
2	381
2	391
2	394
2	396
2	397
2	398
3	396
4	396
4	395
4	394
4	394
4	395
4	393
4	392
5	393
7	390
8	390
8	387
8	385
8	384
7	382
7	382
8	382
10	381
13	383
14	379
14	374
14	373
14	371
14	362
15	357
18	359
23	353
27	346
28	340
28	334
28	320
28	311
28	307
32	301
39	288
46	284
50	272
48	250
47	236
44	219
43	202
46	201
49	187
57	172
63	161
60	152
52	141
46	122
40	111
41	101
42	93
43	79
52	65
50	59
42	53
32	41
24	37
20	37
18	38
16	36
