Doodlebugs	Ants
2	100
2	99
2	97
2	188
2	188
2	187
1	260
1	320
2	324
2	346
2	374
2	379
2	381
2	387
2	395
2	394
3	393
4	395
4	394
4	395
4	391
4	391
4	394
4	395
5	394
7	393
8	390
8	389
8	386
8	385
8	384
8	386
9	384
12	379
15	381
16	372
16	369
16	361
16	355
16	350
17	347
21	348
26	344
30	335
31	323
31	309
31	293
31	288
32	277
31	269
38	261
45	245
45	235
43	227
37	212
31	194
31	188
33	177
36	163
39	161
46	154
48	136
46	119
43	108
40	95
37	84
36	85
34	81
35	80
36	85
30	85
27	85
25	91
16	99
14	107
15	119
17	138
16	156
13	161
12	175
9	195
7	207
6	218
6	229
6	240
9	247
10	257
11	266
12	278
12	286
12	297
12	308
12	310
15	312
19	319
21	323
23	320
24	320
24	321
24	327
24	323
27	322
34	323
40	318
44	299
47	283
48	267
48	249
44	236
42	221
44	202
54	194
56	177
55	154
53	136
47	122
40	106
34	92
34	89
36	84
37	71
35	60
34	56
33	45
25	40
23	36
19	34
15	34
15	33
12	41
10	47
9	53
8	62
8	76
6	88
3	105
3	125
3	149
3	170
4	194
4	215
4	234
4	252
4	271
5	292
6	304
6	317
7	330
8	338
8	351
8	360
8	361
9	365
11	374
12	372
13	371
15	372
16	370
16	366
16	369
17	369
20	368
23	365
25	360
28	358
31	350
32	347
32	343
33	336
37	330
43	319
48	315
53	301
59	286
63	260
64	242
65	211
69	180
77	152
86	127
90	99
92	84
86	63
67	45
59	27
47	16
40	8
32	4
23	2
16	2
9	2
4	3
3	4
0	4
0	5
0	7
0	8
0	9
0	12
0	15
