Doodlebugs	Ants
20	1000
20	981
20	964
20	1800
20	1796
20	1792
20	2210
20	2394
40	2386
40	2420
40	2443
40	2440
40	2431
40	2445
40	2433
40	2441
60	2431
80	2406
80	2388
80	2374
80	2354
80	2349
80	2342
80	2339
100	2328
140	2304
160	2277
160	2232
160	2178
158	2138
156	2097
153	2067
172	2039
225	1996
280	1932
297	1851
289	1759
281	1655
267	1556
256	1479
261	1411
312	1344
386	1274
432	1169
426	1029
394	880
346	751
304	634
269	560
276	498
301	457
304	417
289	384
232	350
164	333
120	310
96	294
89	292
92	287
108	304
113	319
106	332
91	354
66	391
53	431
39	492
39	561
44	629
45	718
47	811
45	906
39	1002
38	1102
35	1217
38	1342
46	1446
55	1561
62	1660
67	1734
68	1812
66	1893
65	1957
68	2001
76	2052
89	2098
105	2109
117	2117
125	2113
127	2094
124	2075
124	2069
130	2042
145	2024
168	1990
190	1956
203	1918
206	1852
195	1791
188	1736
188	1679
203	1625
220	1577
246	1517
262	1459
262	1382
244	1319
230	1251
210	1181
211	1139
222	1103
247	1058
265	997
278	946
278	886
251	831
220	795
192	784
167	768
176	769
183	760
191	761
179	754
152	749
135	749
121	752
104	771
107	794
120	808
139	830
140	858
129	869
112	898
97	943
83	989
77	1020
88	1065
98	1119
101	1165
95	1215
88	1259
86	1306
91	1348
98	1396
107	1441
120	1478
127	1516
133	1539
134	1551
131	1573
137	1600
145	1624
158	1632
179	1639
193	1642
203	1632
204	1594
198	1565
194	1527
202	1490
217	1437
236	1383
254	1340
268	1293
263	1234
254	1170
237	1130
229	1069
219	1021
221	984
229	978
239	931
249	882
250	854
235	823
225	766
204	739
187	741
181	724
192	705
205	693
204	677
187	671
166	681
139	706
119	739
115	770
120	805
121	836
119	865
116	881
114	901
114	929
116	959
119	972
126	992
135	1007
144	1025
142	1039
137	1052
133	1060
131	1078
133	1092
139	1113
142	1152
144	1164
148	1180
153	1218
140	1243
137	1258
144	1260
149	1291
159	1298
160	1314
170	1314
180	1337
181	1328
178	1323
186	1309
199	1290
215	1270
228	1267
233	1240
239	1194
245	1192
240	1182
233	1164
242	1128
245	1104
257	1054
252	1014
252	991
246	960
234	921
235	892
241	857
235	835
221	811
213	786
191	768
171	766
151	771
137	776
138	795
134	793
132	803
134	825
136	847
133	872
126	886
127	927
131	952
129	984
132	1027
132	1089
141	1107
140	1138
144	1184
149	1230
151	1266
152	1284
157	1323
155	1334
154	1341
164	1369
166	1384
177	1383
181	1380
188	1374
187	1373
190	1362
200	1340
214	1324
227	1307
233	1259
240	1219
235	1196
233	1154
245	1099
252	1060
262	1007
277	958
273	914
267	889
253	845
230	815
224	794
215	774
208	763
207	734
202	734
197	718
188	698
184	685
172	697
157	691
152	693
145	705
126	731
119	748
121	780
118	812
117	839
116	864
113	901
115	937
111	960
114	996
128	1030
140	1075
146	1124
152	1162
161	1195
162	1236
156	1269
157	1317
168	1336
185	1365
196	1378
199	1407
206	1406
208	1408
210	1390
205	1387
212	1365
218	1344
219	1317
220	1272
215	1238
207	1202
198	1170
188	1138
187	1128
189	1091
192	1074
192	1048
190	1016
182	1002
173	985
162	961
149	952
152	951
156	958
165	946
165	950
165	940
151	943
135	938
127	964
127	982
136	1005
141	1025
147	1044
144	1055
125	1057
118	1073
116	1089
112	1107
121	1131
130	1152
138	1154
138	1162
134	1166
124	1181
116	1188
111	1220
118	1252
136	1267
153	1278
162	1308
167	1319
161	1330
153	1347
147	1382
143	1412
155	1434
179	1439
198	1418
208	1421
206	1383
192	1353
183	1330
178	1308
176	1294
190	1291
204	1267
212	1243
212	1205
207	1178
195	1133
186	1105
196	1070
208	1038
229	1014
246	980
242	918
243	869
236	831
217	790
210	753
213	740
221	729
226	713
217	702
194	696
170	696
152	693
136	711
135	739
138	754
149	771
163	815
164	829
154	840
141	856
125	897
117	912
113	940
126	986
139	1030
149	1057
151	1090
143	1112
133	1141
133	1199
138	1240
148	1264
173	1281
196	1304
209	1314
211	1291
207	1290
194	1279
191	1262
188	1265
208	1293
232	1300
249	1271
252	1242
248	1201
243	1154
240	1114
233	1083
240	1056
258	1046
271	1009
276	969
261	934
231	908
202	881
184	870
172	869
169	864
173	853
178	851
176	843
169	824
166	828
149	833
146	840
158	856
174	860
189	864
193	858
190	869
175	881
153	885
140	910
143	940
145	974
157	1000
154	1036
154	1055
144	1077
135	1091
131	1115
127	1138
137	1148
153	1175
160	1182
164	1169
166	1163
158	1150
158	1159
168	1160
183	1152
200	1169
212	1153
224	1131
231	1110
222	1075
218	1046
218	1028
226	1015
240	989
254	954
272	927
268	914
253	879
231	841
220	815
214	811
211	798
216	789
224	760
226	738
224	735
222	716
200	703
183	683
169	687
161	686
157	681
162	690
166	699
165	730
159	731
154	742
150	777
137	807
128	848
120	883
123	922
125	971
124	1020
114	1063
108	1100
112	1165
109	1214
108	1256
118	1281
122	1322
126	1356
123	1382
113	1405
115	1434
122	1449
133	1478
145	1496
154	1496
165	1497
167	1497
161	1516
161	1520
162	1517
175	1508
189	1509
206	1475
217	1441
220	1411
206	1359
199	1316
211	1272
219	1222
224	1187
240	1134
256	1064
256	1019
259	948
247	868
243	816
253	765
252	728
250	700
253	677
234	656
214	649
178	646
159	649
134	669
129	697
130	719
135	758
144	796
133	825
124	875
120	930
114	982
116	1029
127	1082
128	1146
139	1184
150	1225
151	1254
145	1297
142	1347
140	1391
146	1444
167	1486
186	1509
201	1524
205	1539
208	1543
201	1544
200	1519
215	1508
242	1478
274	1446
299	1396
317	1319
318	1229
303	1158
276	1086
266	1016
276	970
288	923
295	866
295	817
284	759
249	702
218	661
201	609
194	594
197	584
189	562
193	559
178	572
161	578
144	586
127	594
113	623
107	662
110	694
116	745
115	793
110	844
107	898
96	953
84	1004
75	1059
82	1113
89	1170
100	1216
100	1267
99	1304
100	1334
93	1373
97	1431
104	1473
117	1532
133	1560
147	1580
153	1615
157	1634
151	1642
146	1664
149	1675
166	1706
187	1707
202	1700
210	1674
211	1640
198	1598
187	1556
191	1510
200	1457
216	1410
230	1378
229	1318
224	1263
217	1203
206	1157
198	1114
196	1090
213	1049
229	1000
243	938
248	875
240	828
229	758
218	700
225	674
220	652
221	624
230	593
220	571
205	549
190	538
164	534
153	554
136	575
130	603
137	634
129	683
109	732
108	775
97	811
95	868
97	916
92	963
97	1038
106	1092
106	1147
111	1200
116	1251
119	1295
123	1348
127	1395
132	1433
149	1463
167	1491
172	1512
175	1512
182	1520
185	1511
191	1496
197	1489
213	1475
235	1443
245	1402
245	1363
233	1328
214	1280
210	1234
212	1196
226	1170
242	1116
250	1070
248	1019
238	946
224	891
217	851
214	813
214	773
225	741
230	714
226	673
212	646
193	615
180	612
181	610
179	609
179	616
174	653
155	676
134	703
112	742
92	771
89	819
83	872
84	918
96	979
102	1040
103	1105
105	1148
103	1209
100	1282
101	1350
108	1398
121	1467
141	1523
152	1561
158	1574
158	1609
157	1622
154	1626
153	1650
164	1660
188	1652
217	1646
228	1629
229	1597
215	1551
197	1520
195	1498
202	1442
223	1410
246	1371
257	1317
255	1259
245	1206
230	1139
222	1084
226	1046
236	1000
241	965
248	915
255	842
258	793
250	736
233	687
221	657
209	640
225	614
230	602
