Doodlebugs	Ants
20	1000
20	983
20	967
20	1799
20	1794
20	1784
20	2175
20	2369
40	2363
40	2401
40	2423
40	2426
40	2416
40	2419
40	2430
40	2429
60	2413
80	2409
80	2377
80	2358
80	2346
80	2327
80	2312
80	2311
99	2285
138	2280
158	2250
158	2184
158	2141
157	2105
156	2067
154	2023
174	1996
231	1961
282	1895
296	1805
291	1689
275	1565
255	1484
237	1410
224	1340
252	1291
306	1222
325	1124
324	1025
294	930
247	837
213	767
193	711
199	672
219	635
224	600
220	555
183	510
148	477
119	458
98	448
98	447
114	458
114	467
116	479
101	503
84	535
66	574
54	622
56	683
66	750
68	815
71	887
69	982
59	1066
48	1178
38	1281
39	1403
46	1508
51	1600
50	1690
49	1766
46	1847
46	1907
46	1964
47	2018
53	2051
64	2083
74	2108
80	2128
87	2117
91	2122
92	2130
93	2132
100	2128
117	2132
138	2129
154	2110
167	2062
174	2023
175	1991
173	1945
176	1907
192	1857
214	1808
241	1747
260	1668
274	1581
280	1496
270	1398
260	1309
263	1233
283	1146
301	1063
316	963
317	856
300	763
269	683
234	616
222	550
212	484
215	445
211	398
201	344
184	327
158	328
122	322
96	334
86	344
82	364
77	383
72	405
73	454
71	508
60	562
53	625
45	709
42	805
42	884
41	976
42	1078
47	1159
45	1248
45	1330
45	1410
47	1482
52	1547
57	1622
61	1681
68	1744
76	1807
79	1858
80	1889
85	1923
95	1951
106	1965
114	1956
121	1966
137	1954
144	1943
146	1926
151	1930
163	1911
181	1882
192	1846
204	1815
213	1777
222	1735
224	1693
217	1628
215	1569
224	1506
233	1446
240	1370
253	1313
271	1254
282	1168
285	1075
269	1009
263	926
248	847
244	777
243	724
245	673
253	621
251	590
232	552
205	524
178	515
140	509
125	511
120	527
112	545
106	562
106	595
91	642
67	685
50	741
46	795
43	856
42	917
42	971
43	1044
41	1120
41	1210
43	1295
42	1391
46	1467
47	1548
45	1631
44	1706
44	1777
43	1847
49	1916
56	1980
66	2031
74	2073
77	2120
78	2140
80	2149
84	2165
92	2173
105	2169
122	2146
139	2134
149	2116
148	2080
143	2027
144	1987
151	1949
163	1900
177	1858
190	1811
195	1757
187	1701
179	1637
171	1587
175	1537
183	1494
199	1439
212	1379
222	1319
218	1247
209	1195
198	1131
188	1090
192	1050
203	1002
220	954
221	910
214	862
204	828
186	796
182	763
173	755
180	758
187	760
186	767
182	790
169	807
139	829
120	856
107	884
108	930
111	968
113	1013
108	1053
106	1078
104	1106
102	1139
99	1184
93	1207
92	1244
96	1290
106	1338
116	1350
125	1381
133	1413
133	1422
130	1443
130	1454
127	1467
134	1472
149	1472
165	1471
181	1475
186	1455
182	1453
170	1420
159	1406
160	1385
159	1358
160	1339
170	1319
173	1297
168	1274
156	1254
155	1235
166	1201
182	1173
192	1149
202	1106
211	1083
209	1045
198	1003
198	957
208	926
225	891
231	862
236	827
231	791
214	786
193	780
167	787
155	781
153	786
156	818
151	823
143	822
146	850
135	873
120	884
114	912
112	946
117	960
125	982
133	1012
142	1037
147	1049
143	1069
141	1092
136	1112
138	1120
143	1154
146	1189
155	1207
162	1229
163	1256
152	1278
144	1272
138	1269
130	1291
134	1303
138	1311
149	1321
152	1331
144	1329
136	1333
124	1334
121	1342
128	1339
141	1337
158	1335
165	1341
160	1332
154	1315
147	1319
154	1314
172	1286
190	1258
202	1259
214	1211
217	1189
216	1165
206	1158
189	1131
184	1126
193	1141
192	1135
198	1115
198	1103
193	1084
183	1074
176	1077
168	1078
162	1077
164	1066
157	1073
151	1057
153	1033
153	1030
160	1003
166	988
166	955
160	944
164	952
162	945
166	933
170	936
172	943
167	956
151	960
144	978
131	1010
123	1046
129	1086
131	1115
138	1141
141	1148
143	1160
144	1183
148	1194
153	1200
163	1204
178	1210
188	1219
194	1225
189	1206
182	1197
181	1185
188	1169
198	1157
209	1131
222	1114
227	1094
216	1061
210	1028
203	1015
189	1014
186	990
199	955
210	941
208	927
206	896
201	873
196	868
194	853
195	839
206	835
205	855
191	865
185	872
176	880
179	907
164	935
156	963
162	974
167	1010
167	1022
167	1036
161	1061
150	1074
149	1089
141	1107
136	1114
141	1122
141	1140
147	1149
153	1159
163	1169
169	1174
175	1176
171	1185
177	1183
187	1176
195	1191
209	1195
209	1188
218	1168
228	1139
236	1129
229	1101
233	1054
235	1021
242	1002
254	968
243	942
239	949
220	945
202	930
196	920
195	901
194	874
195	873
189	865
182	833
185	825
191	817
184	801
179	775
176	786
171	773
167	775
161	794
158	808
153	807
150	817
143	853
138	871
130	904
125	939
131	970
134	1017
147	1053
150	1094
150	1130
149	1170
144	1210
146	1251
150	1285
158	1315
162	1341
171	1355
180	1357
184	1344
189	1327
185	1323
189	1292
200	1251
204	1233
207	1210
204	1174
198	1133
202	1117
204	1095
209	1059
206	1033
215	996
210	961
210	938
204	920
200	881
206	865
209	853
207	828
208	810
207	791
203	786
190	775
184	762
182	772
176	779
168	789
161	814
153	842
139	881
135	912
130	940
125	972
121	993
116	1036
121	1061
125	1075
126	1084
131	1103
138	1117
143	1122
144	1127
145	1137
147	1136
151	1150
147	1158
145	1176
148	1186
153	1207
147	1236
148	1263
156	1279
160	1320
166	1346
165	1353
171	1363
181	1376
184	1375
183	1373
185	1376
196	1372
206	1352
208	1355
213	1346
209	1306
209	1279
210	1267
205	1244
196	1229
194	1212
206	1185
218	1149
218	1126
218	1100
229	1059
225	1020
225	1005
228	979
233	931
243	913
251	885
246	832
255	801
248	780
243	754
245	741
239	743
225	753
200	758
182	746
167	742
151	746
139	755
126	768
123	791
124	810
132	812
130	818
127	834
126	853
120	866
114	903
117	949
127	959
148	991
160	1033
162	1048
157	1074
154	1112
144	1166
141	1197
149	1235
164	1266
176	1288
181	1293
176	1316
166	1330
154	1359
152	1370
157	1378
169	1385
179	1394
183	1385
177	1378
172	1358
171	1339
171	1342
185	1327
204	1318
221	1301
236	1262
241	1225
239	1187
235	1150
234	1104
237	1074
246	1063
264	1044
265	1028
261	1030
255	994
250	944
238	929
226	887
209	866
205	858
199	844
199	840
207	830
198	823
194	829
166	855
147	872
135	884
134	907
141	932
143	934
147	944
146	930
138	932
139	934
137	946
141	941
149	960
158	974
163	972
166	965
160	975
157	978
153	995
151	1000
151	1041
152	1059
162	1059
172	1079
174	1102
161	1118
153	1133
155	1160
158	1190
167	1199
181	1211
192	1228
196	1232
195	1219
203	1217
196	1214
190	1225
189	1226
202	1232
216	1241
213	1243
216	1231
207	1240
194	1228
197	1230
192	1202
204	1188
218	1168
211	1143
197	1107
185	1091
179	1076
180	1048
186	1018
191	997
196	967
189	938
181	907
172	881
169	863
179	830
197	808
208	792
207	789
198	787
179	790
162	794
150	817
139	830
136	863
142	923
139	954
140	994
131	1035
124	1098
106	1141
96	1173
95	1204
98	1235
100	1259
102	1284
100	1300
106	1317
106	1338
108	1348
101	1366
103	1381
102	1406
106	1432
110	1457
115	1476
124	1495
128	1505
134	1520
136	1524
142	1527
145	1540
145	1563
157	1568
170	1568
180	1566
191	1541
199	1520
197	1490
196	1469
192	1436
195	1412
201	1404
200	1388
201	1375
198	1363
193	1337
190	1305
184	1278
187	1250
191	1216
190	1182
185	1161
194	1128
195	1067
193	1054
197	1027
185	992
183	970
184	941
182	903
170	884
162	866
152	861
143	850
141	847
144	849
157	840
159	840
155	822
149	806
144	799
138	814
139	849
149	862
158	888
172	929
165	960
148	997
129	1038
110	1087
117	1119
120	1158
130	1193
138	1223
146	1241
139	1271
131	1290
121	1289
113	1317
112	1333
114	1362
130	1379
148	1399
155	1410
155	1403
151	1398
154	1396
157	1397
164	1393
175	1385
195	1383
206	1366
210	1331
204	1325
200	1302
203	1278
212	1255
221	1239
231	1208
232	1191
219	1190
201	1181
186	1173
187	1185
185	1203
182	1207
180	1187
177	1181
169	1176
161	1161
160	1156
166	1170
170	1178
183	1164
193	1175
206	1176
203	1160
198	1126
194	1101
192	1067
189	1045
192	1038
206	1019
216	987
221	947
219	926
212	894
192	876
175	871
173	859
175	854
189	852
185	857
174	852
169	857
149	864
131	882
112	920
107	943
113	974
122	1025
119	1060
115	1087
114	1128
107	1171
91	1213
91	1259
105	1315
120	1347
126	1380
128	1427
126	1455
109	1479
100	1512
99	1547
104	1569
125	1610
140	1619
147	1628
150	1617
151	1617
149	1614
148	1602
154	1592
175	1582
201	1560
219	1537
226	1499
218	1455
208	1424
198	1384
190	1361
196	1331
218	1291
239	1267
257	1218
261	1165
254	1114
232	1062
214	1021
198	995
194	988
210	964
220	917
226	886
210	845
191	817
