Doodlebugs	Ants
20	986
20	969
20	1783
20	1799
19	2217
19	2390
19	2449
38	2452
38	2459
38	2456
38	2455
38	2456
38	2461
38	2460
57	2440
76	2417
76	2414
76	2407
76	2411
76	2409
76	2408
95	2381
133	2338
152	2299
151	2276
150	2266
150	2268
150	2280
169	2260
225	2185
281	2072
300	1976
299	1913
298	1849
297	1778
314	1722
378	1594
476	1367
527	1141
518	958
446	809
371	695
328	618
327	541
356	468
352	380
285	305
211	280
150	269
98	268
81	286
75	327
85	376
83	435
66	510
56	592
48	705
43	824
36	972
39	1125
50	1279
58	1427
58	1585
57	1737
55	1909
56	2045
65	2152
82	2215
100	2236
106	2241
104	2239
102	2235
102	2223
110	2196
133	2165
161	2103
172	2047
167	1989
153	1947
141	1922
143	1889
156	1840
190	1789
208	1721
209	1657
196	1607
175	1580
167	1559
176	1524
202	1478
220	1406
227	1343
215	1318
180	1311
142	1301
134	1303
141	1298
145	1302
139	1317
123	1329
106	1342
96	1385
96	1416
112	1463
129	1512
134	1579
132	1628
126	1672
121	1720
126	1759
144	1770
166	1764
184	1717
198	1718
195	1686
179	1678
182	1681
191	1670
222	1632
246	1575
259	1517
268	1468
250	1422
234	1379
243	1340
271	1304
306	1240
326	1179
317	1096
302	1035
277	982
257	935
269	892
295	855
289	802
263	771
224	745
186	740
167	756
149	770
163	782
176	806
173	823
164	863
150	906
132	970
134	1053
147	1110
160	1188
171	1256
175	1340
156	1404
148	1457
144	1518
158	1572
183	1618
193	1636
202	1651
196	1643
187	1648
188	1648
200	1653
222	1627
254	1587
277	1550
287	1488
292	1424
289	1383
298	1315
324	1237
355	1159
374	1093
366	990
347	894
328	812
304	754
303	688
303	648
300	609
268	573
230	565
192	553
159	572
144	601
147	631
154	676
146	712
136	786
129	881
111	977
106	1078
114	1171
114	1252
110	1331
108	1422
107	1501
113	1577
125	1655
136	1711
147	1766
159	1801
169	1823
177	1843
187	1858
201	1856
217	1853
231	1805
248	1766
263	1685
277	1628
282	1586
266	1537
261	1476
264	1404
291	1308
314	1191
318	1076
292	980
259	905
242	864
225	823
218	778
204	747
194	716
187	702
167	703
151	729
143	746
153	785
151	836
135	886
136	942
138	988
125	1060
119	1131
113	1191
117	1264
126	1341
122	1393
124	1462
126	1507
121	1550
128	1599
130	1653
142	1680
153	1729
165	1756
174	1762
179	1759
188	1768
190	1769
200	1755
211	1722
218	1695
230	1653
234	1613
229	1573
220	1529
220	1492
222	1440
226	1396
223	1347
219	1303
213	1272
207	1265
207	1233
221	1200
236	1163
244	1136
241	1114
240	1092
230	1088
225	1088
216	1109
221	1122
223	1131
210	1131
210	1131
204	1157
199	1163
191	1187
192	1217
211	1208
225	1206
235	1210
225	1213
207	1230
210	1253
208	1278
213	1298
219	1271
226	1280
229	1249
216	1217
216	1197
215	1181
222	1154
226	1124
224	1107
226	1085
221	1078
214	1078
205	1085
203	1123
198	1137
194	1166
189	1207
175	1233
168	1270
171	1298
183	1308
203	1327
213	1348
215	1347
213	1362
204	1376
194	1394
197	1402
217	1417
227	1393
223	1375
215	1358
216	1342
215	1334
220	1310
234	1272
258	1238
267	1192
259	1153
252	1124
256	1095
260	1073
267	1046
272	1020
269	1009
260	980
240	964
226	927
229	918
236	889
218	887
200	871
180	881
168	897
149	920
140	960
142	997
147	1030
154	1078
159	1121
160	1170
155	1215
153	1279
153	1320
163	1351
185	1374
192	1406
185	1429
177	1456
172	1467
171	1477
176	1479
188	1474
205	1477
214	1454
210	1443
212	1428
211	1400
217	1381
227	1353
221	1361
218	1352
214	1318
218	1312
229	1302
231	1284
245	1261
254	1243
253	1216
270	1214
270	1200
279	1186
287	1160
294	1144
300	1102
292	1069
278	1021
271	988
259	953
247	941
237	903
237	872
230	844
212	829
187	850
159	858
146	884
149	902
156	935
167	970
174	999
179	1041
185	1058
195	1109
192	1161
191	1201
197	1228
195	1266
