Doodlebugs	Ants
20	1000
20	987
20	970
20	1832
20	1819
20	1813
20	2242
20	2412
40	2404
40	2418
40	2433
40	2435
40	2424
40	2434
40	2427
40	2425
60	2410
80	2400
80	2384
80	2361
80	2350
80	2336
80	2331
80	2316
100	2305
140	2277
160	2248
160	2204
157	2144
155	2116
150	2060
149	2037
165	2006
215	1962
268	1894
278	1821
274	1724
263	1609
243	1537
223	1485
219	1404
253	1338
322	1281
353	1206
342	1119
309	1013
266	940
218	892
196	829
201	777
244	735
271	711
271	649
252	603
214	593
155	567
120	562
105	587
119	614
127	647
124	686
118	725
98	763
78	807
74	861
73	932
80	996
92	1065
105	1144
112	1209
106	1250
105	1317
98	1362
91	1419
93	1472
102	1555
122	1591
136	1625
139	1654
138	1666
133	1666
127	1695
129	1704
144	1721
160	1730
185	1743
201	1731
202	1700
196	1671
187	1645
189	1614
196	1590
220	1546
255	1521
284	1453
293	1377
291	1313
270	1246
243	1175
229	1117
234	1081
262	1021
286	977
294	918
285	850
253	784
212	736
174	713
161	689
158	683
161	668
172	657
174	638
156	616
143	603
121	594
110	594
106	610
113	630
120	661
124	689
115	714
107	760
94	822
77	869
66	936
70	1032
83	1094
89	1160
94	1227
93	1291
87	1343
74	1398
70	1462
73	1507
90	1562
97	1618
102	1647
106	1699
110	1740
106	1744
101	1776
106	1808
126	1822
148	1820
157	1816
164	1804
173	1790
177	1770
178	1732
186	1702
207	1664
238	1618
264	1564
278	1494
281	1449
289	1364
282	1288
275	1218
277	1170
295	1093
323	1010
339	945
327	851
318	760
284	687
248	624
227	566
230	518
239	469
248	431
226	398
200	370
156	363
118	365
105	360
99	373
92	400
95	424
91	443
87	487
79	528
70	566
65	631
71	696
75	770
80	843
77	929
78	1025
79	1112
79	1194
79	1306
84	1399
94	1470
97	1523
101	1600
101	1659
104	1706
112	1732
111	1762
117	1795
130	1817
140	1839
151	1849
158	1836
169	1809
182	1767
192	1729
197	1692
203	1653
208	1618
219	1569
226	1537
224	1512
230	1465
240	1422
240	1370
238	1321
237	1265
246	1208
246	1140
254	1075
269	1028
284	958
285	907
278	868
259	814
245	788
231	769
222	740
219	718
229	706
231	700
212	698
187	713
167	725
149	750
143	778
140	816
145	840
141	868
137	896
121	933
113	974
106	1015
109	1057
109	1108
112	1140
114	1181
118	1217
112	1256
112	1302
114	1316
120	1346
131	1366
135	1399
142	1427
150	1449
162	1460
170	1475
177	1473
190	1466
203	1469
219	1482
225	1462
239	1433
255	1398
266	1359
269	1308
255	1273
255	1220
263	1158
261	1112
255	1050
255	994
263	942
262	881
256	832
257	783
247	742
236	687
224	651
218	614
211	581
208	567
189	554
173	558
157	553
131	559
125	585
115	626
105	657
100	694
101	746
103	792
105	848
103	899
100	968
105	1037
104	1104
109	1187
115	1256
124	1326
131	1368
134	1414
132	1444
136	1464
140	1513
145	1544
155	1558
170	1575
180	1574
186	1582
190	1582
193	1540
195	1510
204	1484
218	1442
243	1393
263	1333
265	1272
259	1229
246	1181
223	1131
216	1096
210	1077
201	1058
208	1016
209	982
209	952
188	907
176	871
177	845
178	826
186	808
198	795
207	787
213	778
207	736
200	726
190	696
180	676
182	676
188	680
201	686
194	702
182	705
159	708
141	732
119	766
112	791
114	811
123	841
134	858
134	873
126	884
118	899
111	923
101	956
107	981
110	1010
123	1011
136	1032
136	1041
129	1036
125	1050
119	1061
135	1069
158	1060
175	1071
186	1081
187	1078
176	1072
165	1086
157	1079
157	1086
171	1097
185	1121
193	1121
193	1123
183	1120
165	1118
151	1132
139	1117
144	1117
154	1141
165	1134
172	1111
177	1103
177	1100
169	1065
167	1029
176	1032
183	1017
194	985
207	977
222	969
228	939
224	923
206	930
189	926
189	906
203	892
207	895
217	874
219	875
207	870
189	881
169	900
147	916
148	944
153	966
156	988
157	990
155	1004
149	1011
142	1020
144	1022
154	1034
167	1056
177	1062
178	1084
170	1103
158	1108
157	1106
162	1131
175	1164
197	1181
211	1188
218	1189
219	1189
208	1204
200	1189
190	1183
189	1206
205	1205
228	1204
240	1199
248	1190
241	1153
233	1106
234	1074
226	1027
230	986
240	955
251	933
241	886
234	835
227	776
209	733
203	684
196	639
210	603
221	574
219	547
215	527
204	508
183	501
159	515
143	544
120	567
111	623
102	698
90	772
82	845
65	931
55	1021
45	1096
