Doodlebugs	Ants
2	100
2	99
2	99
2	195
2	193
2	191
2	265
2	315
4	318
4	345
4	377
4	381
4	384
4	386
4	389
4	389
6	388
8	387
8	389
8	387
8	388
8	388
8	388
8	388
10	386
14	385
16	379
16	378
16	375
16	367
16	368
16	364
18	367
24	358
30	350
32	343
32	331
32	315
32	312
31	303
32	294
40	282
50	275
56	254
55	225
55	206
53	190
44	181
42	167
44	159
53	155
58	138
56	123
50	114
40	104
33	92
24	82
25	75
34	70
40	67
41	59
39	53
31	51
26	44
20	44
18	50
10	56
9	63
10	72
8	84
6	93
5	101
4	113
4	133
4	145
5	152
7	164
7	177
7	182
7	185
7	196
6	207
5	215
6	219
8	230
10	240
10	245
10	249
9	260
9	264
9	271
10	287
12	302
16	302
18	303
18	308
18	312
18	309
18	318
19	314
22	316
28	315
33	317
35	308
35	294
35	284
34	281
34	272
36	264
43	258
50	242
56	231
54	214
48	197
41	193
34	182
34	168
39	160
48	148
48	139
49	123
40	113
35	102
31	93
32	85
36	73
41	66
46	56
44	44
40	38
35	32
22	22
19	22
21	23
19	22
17	26
14	29
10	32
9	32
7	37
8	43
6	47
4	53
4	60
2	68
2	69
3	81
3	96
2	106
2	117
2	133
2	146
2	158
2	172
3	189
4	203
4	216
4	230
4	251
4	263
4	278
4	296
5	309
7	323
8	330
8	336
8	344
8	346
8	347
8	354
9	361
12	362
15	364
16	367
16	365
16	358
16	356
16	355
17	351
21	348
27	343
31	331
32	324
32	320
32	312
32	301
33	284
38	274
48	263
55	243
56	225
56	201
52	186
42	178
27	171
25	169
28	163
29	159
28	158
26	152
